x 0 1 2 3 4 5 6
-20.0 9.00280815202697e-7 4.639159673613751e-16 2.821006571354907e-17 8.496708510583178e-18 2.5591594236927574e-18 1.556226448226759e-19 2.8503281654818703e-21
-19.95 1.0996053034794146e-6 5.1270776075427755e-16 3.117694422361789e-17 9.39031514526246e-18 2.8283085697844937e-18 1.7198962125203865e-19 3.1500997954625464e-21
-19.9 1.343060702071828e-6 5.666313252548112e-16 3.445585207040914e-17 1.037790321010931e-17 3.1257643786699776e-18 1.9007792761860007e-19 3.481398682981232e-21
-19.849999999999998 1.640417676448412e-6 6.262264389017275e-16 3.807960566573293e-17 1.1469356818416654e-17 3.4545038880627865e-18 2.100685977721606e-19 3.847540578657589e-21
-19.799999999999997 2.0036101248016303e-6 6.920896630679974e-16 4.208447275355749e-17 1.267559960474683e-17 3.817817233466277e-18 2.3216170505872466e-19 4.252189953648413e-21
-19.749999999999996 2.4472141141208684e-6 7.648803176004658e-16 4.651053538977966e-17 1.4008704052337488e-17 4.21934057695499e-18 2.565783647217606e-19 4.699396674905768e-21
-19.699999999999996 2.9890328493024743e-6 8.453270850754777e-16 5.1402091096913086e-17 1.5482012318571784e-17 4.66309249910722e-18 2.8356294689789094e-19 5.1936365376070764e-21
-19.649999999999995 3.6508111489772084e-6 9.342353104912426e-16 5.6808096208584e-17 1.7110269767774368e-17 5.153514218309889e-18 3.133855223553808e-19 5.7398560604184084e-21
-19.599999999999994 4.459108097728529e-6 1.0324950697272535e-15 6.278265584097204e-17 1.890977254777335e-17 5.695514039965492e-18 3.4634456545311567e-19 6.343521991914824e-21
-19.549999999999994 5.446362890213239e-6 1.1410900878555863e-15 6.93855653949963e-17 2.0898530687224532e-17 6.294516480461456e-18 3.827699413723343e-19 7.010676023637727e-21
-19.499999999999993 6.652196632680574e-6 1.2611075969682718e-15 7.6682909008787e-17 2.3096448346031905e-17 6.95651655755394e-18 4.2302620751822823e-19 7.747995257374592e-21
-19.449999999999992 8.12500233198539e-6 1.3937492326778514e-15 8.474772094995382e-17 2.5525523022870706e-17 7.688139790520289e-18 4.675162621329704e-19 8.562859031838152e-21
-19.39999999999999 9.923886860410801e-6 1.5403430789535517e-15 9.36607165670823e-17 2.821006571354733e-17 8.496708510583298e-18 5.166853766367943e-19 9.463422777569137e-21
-19.34999999999999 1.2121042799070945e-5 1.7023569825828675e-15 1.0351110011606899e-16 3.117694422361573e-17 9.390315145262592e-18 5.710256520539526e-19 1.0458699639224316e-20
-19.29999999999999 1.4804645297941644e-5 1.8814132714193167e-15 1.1439745754629895e-16 3.445585207040645e-17 1.0377903210109459e-17 6.310809441251997e-19 1.1558650682158588e-20
-19.24999999999999 1.808239013557767e-5 2.079305024826904e-15 1.2642874318196645e-16 3.807960566572958e-17 1.1469356818416813e-17 6.974523063988991e-19 1.2774284586116844e-20
-19.19999999999999 2.208581485675808e-5 2.298014060511427e-15 1.3972537017357035e-16 4.2084472753553373e-17 1.2675599604747011e-17 7.708040057768558e-19 1.4117767823798667e-20
-19.149999999999988 2.697557623666785e-5 2.5397308194060297e-15 1.5442041563319178e-16 4.651053538977454e-17 1.4008704052337688e-17 8.51870170720802e-19 1.560254642700677e-20
-19.099999999999987 3.294789561548857e-5 2.806876349640005e-15 1.7066095251496412e-16 5.1402091096906726e-17 1.5482012318571996e-17 9.414621386567752e-19 1.7243480559052886e-20
-19.049999999999986 4.024243039049786e-5 3.1021266120738723e-15 1.8860952157063536e-16 5.680809620857616e-17 1.7110269767774606e-17 1.0404765761127503e-18 1.9056993240267414e-20
-18.999999999999986 4.915188699927253e-5 3.4284393536633792e-15 2.0844575811204056e-16 6.27826558409624e-17 1.8909772547773616e-17 1.1499044528587447e-18 2.106123471510822e-20
-18.949999999999985 6.003376033600957e-5 3.789083821280331e-15 2.3036818986167375e-16 6.938556539498442e-17 2.0898530687224828e-17 1.2708409598651852e-18 2.3276264105903384e-20
-18.899999999999984 7.332466946097047e-5 4.187673617859084e-15 2.5459622388486615e-16 7.668290900877236e-17 2.309644834603223e-17 1.4044964703423156e-18 2.5724250171291612e-20
-18.849999999999984 8.955786303009698e-5 4.6282030351791645e-15 2.813723424894492e-16 8.474772094993581e-17 2.5525523022871067e-17 1.552208653562237e-18 2.842969317861383e-20
-18.799999999999983 1.0938459414218568e-4 5.115087233601883e-15 3.1096453007018747e-16 9.366071656706017e-17 2.821006571354773e-17 1.7154558627023572e-18 3.141967011081833e-20
-18.749999999999982 1.336002181898207e-4 5.653206679061442e-15 3.436689551866643e-16 1.0351110011604175e-16 3.117694422361617e-17 1.8958719307010314e-18 3.472410566200786e-20
-18.69999999999998 1.6317605475622628e-4 6.247956292027685e-15 3.798129347177789e-16 1.1439745754626554e-16 3.4455852070406946e-17 2.0952625222067277e-18 3.8376071733836804e-20
-18.64999999999998 1.9929828280749288e-4 6.905299812524988e-15 4.197582097590964e-16 1.264287431819255e-16 3.807960566573013e-17 2.3156232052766604e-18 4.241211843021989e-20
-18.59999999999998 2.4341541604153773e-4 7.631829940193396e-15 4.639045660493095e-16 1.3972537017352004e-16 4.2084472753553965e-17 2.5591594236929026e-18 4.6872639863060285e-20
-18.54999999999998 2.9729624265976593e-4 8.434834869472548e-15 5.126938351602716e-16 1.5442041563313015e-16 4.6510535389775205e-17 2.8283085697846547e-18 5.1802278430088714e-20
-18.49999999999998 3.631005234430075e-4 9.322371908018366e-15 5.666143164958806e-16 1.7066095251488861e-16 5.140209109690745e-17 3.125764378670067e-18 5.725037161098949e-20
-18.449999999999978 4.43465238606067e-4 1.0303348942269105e-14 6.262056643566544e-16 1.8860952157054284e-16 5.680809620857695e-17 3.4545038880629825e-18 6.327144575348889e-20
-18.399999999999977 5.41609774912973e-4 1.1387614598617922e-14 6.920642889813375e-16 2.0844575811192723e-16 6.278265584096327e-17 3.817817233466494e-18 6.992576179135844e-20
-18.349999999999977 6.614641703672563e-4 1.2586058043012301e-14 7.648493256210306e-16 2.30368189861535e-16 6.938556539498537e-17 4.21934057695523e-18 7.727991835609641e-20
-18.299999999999976 8.078254080547529e-4 1.3910719467222819e-14 8.452892313863111e-16 2.545962238846962e-16 7.668290900877345e-17 4.663092499107485e-18 8.540751831841771e-20
-18.249999999999975 9.865478002799688e-4 1.537491242791882e-14 9.341890758908853e-16 2.813723424892412e-16 8.4747720949937e-17 5.153514218310182e-18 9.438990543052517e-20
-18.199999999999974 1.204774758905821e-3 1.69933593366774e-14 1.0324385986588506e-15 3.1096453006993296e-16 9.366071656706146e-17 5.6955140399658154e-18 1.0431697844172941e-19
-18.149999999999974 1.4712207399874028e-3 1.878234154699381e-14 1.1410211139368783e-15 3.436689551863531e-16 1.0351110011604322e-16 6.294516480461814e-18 1.1528809083532623e-19
-18.099999999999973 1.7965139133277643e-3 2.075986565038791e-14 1.2610233520337159e-15 3.798129347173983e-16 1.143974575462671e-16 6.956516557554141e-18 1.2741304519166183e-19
-18.049999999999972 2.19361217127064e-3 2.29458477802744e-14 1.3936463356824189e-15 4.197582097586306e-16 1.264287431819272e-16 7.688139790520619e-18 1.408131921292821e-19
-17.99999999999997 2.678307479568176e-3 2.53623179322302e-14 1.5402174002795184e-15 4.6390456604874e-16 1.3972537017352194e-16 8.49670851058366e-18 1.5562264482268477e-19
-17.94999999999997 3.2698362949801444e-3 2.8033646545948713e-14 1.7022034783037547e-15 5.126938351595752e-16 1.544204156331323e-16 9.390315145262994e-18 1.7198962125205086e-19
-17.89999999999997 3.991616809711547e-3 3.098679586133922e-14 1.8812257808694123e-15 5.666143164950293e-16 1.7066095251489095e-16 1.0377903210110048e-17 1.900779276186109e-19
-17.84999999999997 4.872137064098727e-3 3.425159886336336e-14 2.079076023352114e-15 6.262056643556135e-16 1.8860952157054543e-16 1.1469356818417305e-17 2.1006859777216955e-19
-17.79999999999997 5.9460213498177495e-3 3.7861068972502006e-14 2.297734357478486e-15 6.920642889800702e-16 2.084457581119301e-16 1.2675599604747552e-17 2.321617050587378e-19
-17.749999999999968 7.255305536087842e-3 4.185174402630053e-14 2.5393891893501204e-15 7.648493256194809e-16 2.303681898615381e-16 1.4008704052338286e-17 2.565783647217789e-19
-17.699999999999967 8.850954529997818e-3 4.626406853937539e-14 2.8064590817474374e-15 8.452892313844167e-16 2.5459622388469975e-16 1.548201231857244e-17 2.83562946897907e-19
-17.649999999999967 1.0794656281377848e-2 5.114281873296232e-14 3.101616959918986e-15 9.34189075888569e-16 2.813723424892452e-16 1.7110269767775333e-17 3.133855223553943e-19
-17.599999999999966 1.3160925391645704e-2 5.653757540043525e-14 3.427816863115686e-15 1.0324385986560192e-15 3.1096453006993725e-16 1.890977254777443e-17 3.4634456545313527e-19
-17.549999999999965 1.6039543702798118e-2 6.250325033389815e-14 3.788323509608436e-15 1.1410211139334176e-15 3.436689551863577e-16 2.089853068722572e-17 3.827699413723615e-19
-17.499999999999964 1.9538352582880992e-2 6.910067279275404e-14 4.186744971085954e-15 1.261023352029486e-15 3.7981293471740327e-16 2.309644834603354e-17 4.2302620751825216e-19
